Time [min],Droplet Removal Rate [0.3um],Droplet Removal Rate [0.5um],Droplet Removal Rate [1.0um]
0.1,82.3698,11.4972,2.5326
0.2,80.0382,11.055,2.6532
0.3,89.5656,11.7384,3.4974
0.4,87.435,12.7032,3.5778
0.5,93.9876,14.1504,3.4572
0.6,87.9978,12.3012,2.9346
0.7,92.5806,11.658,3.1758
0.8,94.269,16.08,4.7034
0.9,86.4702,12.2208,3.2964
1,88.9626,13.4268,3.7386
1.1,92.1384,11.9796,3.5376
1.2,90.0078,12.5424,3.6984
1.3,88.5606,13.065,3.7788
1.4,90.7716,12.2208,2.9346
1.5,91.5756,13.869,3.6984
1.6,87.5958,12.9042,3.1356
1.7,88.5606,13.1856,3.1356
1.8,91.5354,11.6178,3.5376
1.9,87.837,12.7032,3.6582
2,91.0128,12.3012,3.3366
2.1,86.9928,12.261,2.8542
2.2,92.0982,13.5474,3.216
2.3,89.8872,14.1102,3.6984
2.4,91.3344,13.5474,3.1356
2.5,90.6108,13.3464,3.4572
2.6,86.5908,12.5022,3.1758
2.7,93.867,13.7082,3.6582
2.8,87.9174,12.5022,2.5728
2.9,91.3344,13.1454,3.216
3,89.4852,12.1002,3.015
3.1,92.46,12.7434,2.8542
3.2,88.5606,12.0198,3.0552
3.3,89.7666,12.2208,2.9346
3.4,89.6058,13.6278,3.4974
3.5,90.651,12.5424,3.1356
3.6,92.1384,13.5072,3.7788
3.7,90.7716,12.2208,3.618
3.8,91.3746,11.6178,3.1758
3.9,90.2088,12.3414,3.2562
4,89.5656,13.3464,3.2562
4.1,89.445,11.6982,2.7738
4.2,89.3646,12.4218,2.814
4.3,91.857,12.8238,3.0552
4.4,90.8118,13.3464,3.4974
4.5,88.3596,12.9846,3.2562
4.6,92.0982,13.9494,4.02
4.7,89.0028,12.06,3.0954
4.8,89.4852,12.9444,3.1758
4.9,92.5002,13.5474,3.2562
5,5341.8966,5289.0336,4669.7526
5.1,6727.5102,6660.939,5729.3442
5.2,5293.8978,5241.5172,3065.1294
5.3,4148.3184,4107.2742,1596.342
5.4,4191.6138,4150.1274,1512.1632
