Location 1 - Suction On,,,,,,,,Location 1 - Suction Off,,,,,,,,Location 4 - Suction On,,,,,,,,Location 4 - Suction Off,,,,,,
Time [min],Droplet counts 0.3?0.5 ?m,Std Deviation,Droplet counts 0.5?1.0 ?m,Std Deviation,Droplet counts 1.0?3.0 ?m,Std Deviation,,Time [min],Droplet counts 0.3?0.5 ?m,Std Deviation,Droplet counts 0.5?1.0 ?m,Std Deviation,Droplet counts 1.0?3.0 ?m,Std Deviation,,Time [min],Droplet counts 0.3?0.5 ?m,Std Deviation,Droplet counts 0.5?1.0 ?m,Std Deviation,Droplet counts 1.0?3.0 ?m,Std Deviation,,Time [min],Droplet counts 0.3?0.5 ?m,Std Deviation,Droplet counts 0.5?1.0 ?m,Std Deviation,Droplet counts 1.0?3.0 ?m,Std Deviation
0,-5903443.63,5136388.203,1.06E+08,1.11E+08,2.30E+08,2.17E+08,,0.00E+00,-388331.1296,5934086.13,7.33E+07,2.42E+07,9.61E+07,6.30E+07,,0,-941267.8704,403367.0539,-1.67E+05,9.32E+03,2.51E+04,4.75E+04,,0,2400419.889,4497842.49,6.56E+05,1.21E+06,1.40E+05,2.42E+05
0.06995,-6080241.036,4648962.66,9.83E+07,8.69E+07,2.84E+08,1.67E+08,,7.00E-02,-588433.8437,4665632.606,1.02E+08,3.49E+07,1.63E+08,8.47E+07,,0.06995,-958545.8864,439210.2851,-1.59E+05,1.07E+05,-2.21E+03,4.84E+04,,0.06995,2430957.537,4511519.554,6.93E+05,1.24E+06,1.39E+05,2.63E+05
0.13991,-6257038.442,4161700.084,9.08E+07,6.39E+07,3.37E+08,1.17E+08,,0.13991,-788536.5577,4264670.692,1.31E+08,5.48E+07,2.30E+08,1.24E+08,,0.13991,-975823.9024,476266.9449,-1.51E+05,2.13E+05,-2.95E+04,5.08E+04,,0.13991,2461495.185,4525266.167,7.30E+05,1.27E+06,1.37E+05,2.83E+05
0.20986,-6425125.595,3731215.881,8.63E+07,4.27E+07,3.84E+08,7.14E+07,,2.10E-01,-649844.2207,4759364.89,1.58E+08,7.45E+07,2.90E+08,1.66E+08,,0.20986,-989991.1036,517175.1145,-1.47E+05,3.12E+05,-5.55E+04,5.53E+04,,0.20986,2488526.11,4535725.079,7.63E+05,1.31E+06,1.36E+05,3.02E+05
0.27981,-6478164.805,4048681.742,1.22E+08,2.49E+07,3.52E+08,7.15E+07,,0.27981,3963766.082,6360519.371,1.52E+08,6.63E+07,2.47E+08,1.74E+08,,0.27981,-963069.6258,638912.2882,-1.93E+05,3.15E+05,-6.40E+04,6.79E+04,,0.27981,2469239.073,4503175.641,7.49E+05,1.33E+06,1.44E+05,2.97E+05
0.34977,-6531204.016,4367541.715,1.58E+08,2.49E+07,3.19E+08,7.63E+07,,0.34977,8577376.385,1.09E+07,1.46E+08,7.12E+07,2.04E+08,1.82E+08,,0.34977,-936148.148,811737.4189,-2.40E+05,3.19E+05,-7.24E+04,8.14E+04,,0.34977,2449952.035,4473082.043,7.34E+05,1.35E+06,1.52E+05,2.94E+05
0.41972,-6614220.099,4611044.982,1.89E+08,3.90E+07,2.88E+08,8.58E+07,,0.41972,1.42E+07,1.62E+07,1.39E+08,8.08E+07,1.68E+08,1.93E+08,,0.41972,-953513.2447,1058147.752,-2.99E+05,3.36E+05,-8.14E+04,9.85E+04,,0.41972,2437169.438,4442917.885,7.25E+05,1.37E+06,1.59E+05,2.93E+05
0.48967,-6880220.011,4390529.81,1.87E+08,3.60E+07,2.64E+08,1.02E+08,,0.48967,2.61E+07,2.64E+07,1.28E+08,5.62E+07,1.74E+08,2.17E+08,,0.48967,-1241210.974,1606937.952,-4.37E+05,4.64E+05,-9.39E+04,1.39E+05,,0.48967,2464091.03,4398803.05,7.48E+05,1.34E+06,1.58E+05,2.87E+05
0.55963,-7146219.922,4174558.004,1.85E+08,3.74E+07,2.39E+08,1.19E+08,,0.55963,3.79E+07,3.98E+07,1.16E+08,3.29E+07,1.80E+08,2.41E+08,,0.55963,-1528908.703,2155767.663,-5.74E+05,6.15E+05,-1.06E+05,1.82E+05,,0.55963,2491012.622,4355917.004,7.71E+05,1.31E+06,1.57E+05,2.82E+05
0.62958,-6899445.9,3567264.245,1.79E+08,3.19E+07,2.16E+08,1.32E+08,,0.62958,4.57E+07,5.07E+07,1.13E+08,1.17E+07,1.81E+08,2.47E+08,,0.62958,-1747631.369,2511977.092,-6.72E+05,7.38E+05,-1.16E+05,2.13E+05,,0.62958,2506056.544,4331892.801,7.80E+05,1.29E+06,1.57E+05,2.75E+05
0.69953,-4736891.485,3977670.926,1.53E+08,1.35E+07,1.93E+08,1.32E+08,,0.69953,3.81E+07,4.94E+07,1.42E+08,2.47E+07,1.67E+08,1.79E+08,,0.69953,-1708655.535,2152068.265,-6.23E+05,7.21E+05,-1.17E+05,1.91E+05,,0.69953,2476724.172,4374139.108,7.36E+05,1.31E+06,1.66E+05,2.62E+05
0.76949,-2574337.071,7080635.725,1.28E+08,5.89E+07,1.71E+08,1.38E+08,,0.76949,3.05E+07,4.95E+07,1.70E+08,5.99E+07,1.53E+08,1.23E+08,,0.76949,-1669679.702,1800692.739,-5.74E+05,7.09E+05,-1.18E+05,1.73E+05,,0.76949,2447391.8,4416418.673,6.93E+05,1.33E+06,1.74E+05,2.49E+05
0.83944,397818.7528,1.08E+07,1.13E+08,8.72E+07,1.54E+08,1.42E+08,,0.83944,2.50E+07,4.56E+07,1.78E+08,8.10E+07,1.31E+08,9.33E+07,,0.83944,-1624256.013,1.53E+06,-5.33E+05,6.93E+05,-1.13E+05,1.59E+05,,0.83944,2412064.089,4.47E+06,6.71E+05,1.36E+06,1.79E+05,2.46E+05
0.90939,5436144.84,1.49E+07,1.25E+08,7.19E+07,1.49E+08,1.27E+08,,0.90939,2.47E+07,2.85E+07,1.31E+08,6.57E+07,9.02E+07,6.47E+07,,0.90939,-1562376.858,1.45E+06,-5.09E+05,6.54E+05,-9.17E+04,1.46E+05,,0.90939,2361435.772,4.56E+06,7.02E+05,1.38E+06,1.76E+05,2.69E+05
0.97935,1.05E+07,1.92E+07,1.38E+08,5.66E+07,1.44E+08,1.13E+08,,0.97935,2.43E+07,1.22E+07,8.48E+07,5.10E+07,4.90E+07,3.70E+07,,0.97935,-1.50E+06,1.38E+06,-4.86E+05,6.17E+05,-7.08E+04,1.45E+05,,0.97935,2.31E+06,4.66E+06,7.33E+05,1.40E+06,1.74E+05,2.92E+05
1.0493,1.13E+07,1.95E+07,1.55E+08,3.95E+07,1.55E+08,9.37E+07,,1.0493,2.24E+07,7635797.494,5.77E+07,4.71E+07,2.56E+07,2.30E+07,,1.0493,-1.46E+06,1.23E+06,-4.50E+05,5.71E+05,-6.45E+04,1.41E+05,,1.0493,2.31E+06,4.72E+06,7.43E+05,1.40E+06,1.76E+05,3.02E+05
1.11925,4326989.514,1.25E+07,1.80E+08,2.08E+07,1.94E+08,6.50E+07,,1.11925,1.77E+07,1.15E+07,6.60E+07,6.27E+07,3.50E+07,2.98E+07,,1.11925,-1450073.157,9.42E+05,-3.91E+05,5.11E+05,-8.50E+04,1.16E+05,,1.11925,2392070.367,4.70E+06,7.12E+05,1.36E+06,1.87E+05,2.88E+05
1.18921,-2635616.186,6475749.27,2.05E+08,1.51E+07,2.33E+08,5.21E+07,,1.18921,1.31E+07,1.54E+07,7.43E+07,7.89E+07,4.44E+07,3.78E+07,,1.18921,-1442438.716,656842.7189,-3.33E+05,4.52E+05,-1.05E+05,9.60E+04,,1.18921,2476451.084,4676957.69,6.81E+05,1.32E+06,1.99E+05,2.74E+05
1.25916,-6643408.768,4997146.042,2.18E+08,2.59E+07,2.58E+08,6.02E+07,,1.25916,1.51E+07,2.01E+07,9.25E+07,7.28E+07,6.51E+07,5.27E+07,,1.25916,-1450754.306,536854.912,-3.09E+05,3.96E+05,-1.07E+05,9.09E+04,,1.25916,2516036.174,4670621.356,6.72E+05,1.31E+06,1.99E+05,2.75E+05
1.32911,-6608852.85,4967616.934,2.15E+08,3.26E+07,2.64E+08,6.97E+07,,1.32911,2.65E+07,2.81E+07,1.24E+08,3.81E+07,1.01E+08,8.91E+07,,1.32911,-1480890.423,677311.5615,-3.32E+05,3.40E+05,-8.13E+04,9.75E+04,,1.32911,2494338.357,4683119.861,6.93E+05,1.32E+06,1.84E+05,2.97E+05
1.39907,-6574296.931,4942117.604,2.11E+08,3.94E+07,2.71E+08,8.10E+07,,1.39907,3.79E+07,3.73E+07,1.56E+08,2.24E+07,1.37E+08,1.31E+08,,1.39907,-1511026.539,849769.7698,-3.54E+05,2.88E+05,-5.60E+04,1.05E+05,,1.39907,2472640.539,4697341.559,7.15E+05,1.33E+06,1.69E+05,3.20E+05
1.46902,-6677917.453,4956768.065,2.13E+08,3.78E+07,2.60E+08,7.95E+07,,1.46902,3.84E+07,3.70E+07,1.77E+08,3.42E+07,1.58E+08,1.49E+08,,1.46902,-1186813.435,406346.2473,-2.61E+05,7.56E+04,-1.17E+04,3.08E+04,,1.46902,2444409.893,4745032.961,7.28E+05,1.35E+06,1.55E+05,3.21E+05
1.53897,-6923826.81,5015649.519,2.19E+08,2.76E+07,2.30E+08,6.64E+07,,1.53897,2.78E+07,2.77E+07,1.86E+08,4.65E+07,1.62E+08,1.43E+08,,1.53897,-497705.0015,1391686.518,-4.64E+04,6.99E+05,5.22E+04,1.30E+05,,1.53897,2409451.988,4825898.924,7.33E+05,1.35E+06,1.40E+05,2.99E+05
