Time [min],Total Droplet Count - Aggregate - Suction Off,Total Droplet Count - Aggregate - Suction On,Total Volume - Aggregate - Suction Off,Total Volume - Aggregate - Suction On
0,3.24E+08,4.75E+08,5.15369,11.98079
0.06995,4.68E+08,5.76E+08,8.82626,15.04241
0.13991,6.10E+08,6.76E+08,12.50308,18.10402
0.20986,7.35E+08,7.68E+08,15.72637,20.78081
0.27981,6.50E+08,7.45E+08,12.95972,18.37455
0.34977,5.64E+08,7.21E+08,10.19583,15.96831
0.41972,4.96E+08,6.99E+08,7.99178,13.87968
0.48967,5.35E+08,6.85E+08,9.20429,13.72988
0.55963,5.75E+08,6.70E+08,10.4127,13.58006
0.62958,6.14E+08,6.47E+08,11.4513,13.21318
0.69953,6.51E+08,5.94E+08,11.85593,12.03532
0.76949,6.88E+08,5.41E+08,12.26262,10.85742
0.83944,6.88E+08,5.07E+08,11.88179,9.92982
0.90939,5.90E+08,5.22E+08,9.49076,9.64099
0.97935,4.92E+08,5.37E+08,7.09889,9.35217
1.0493,4.37E+08,5.80E+08,5.75803,9.87224
1.11925,4.61E+08,6.71E+08,6.35263,11.88203
1.18921,4.85E+08,7.63E+08,6.94681,13.89183
1.25916,5.35E+08,8.18E+08,7.92138,15.15103
1.32911,6.21E+08,8.22E+08,9.41742,15.38338
1.39907,7.08E+08,8.26E+08,10.915,15.61571
1.46902,7.50E+08,8.15E+08,11.62725,15.12536
1.53897,7.47E+08,7.88E+08,11.52993,13.89087
1.60893,7.44E+08,7.62E+08,11.43164,12.65635
1.67888,7.37E+08,7.42E+08,11.30777,11.66149
1.74883,7.29E+08,7.27E+08,11.21084,10.85271
1.81879,7.22E+08,7.12E+08,11.15026,10.04393
1.88874,7.56E+08,7.09E+08,11.55958,10.00141
1.95869,8.16E+08,7.13E+08,12.4046,10.40224
2.02865,8.78E+08,7.17E+08,13.34435,10.80312
2.0986,9.34E+08,6.97E+08,14.63407,10.30293
2.16855,9.79E+08,6.66E+08,15.69563,9.42356
2.23851,1.02E+09,6.35E+08,16.59925,8.54417
2.30846,9.99E+08,6.05E+08,15.92652,7.70083
2.37841,9.56E+08,5.75E+08,14.78465,6.86803
2.44837,9.13E+08,5.45E+08,13.63999,6.03521
2.51832,8.83E+08,5.68E+08,12.53532,6.65841
2.58827,8.77E+08,6.00E+08,12.41023,7.54953
2.65822,8.76E+08,6.32E+08,12.46404,8.44067
2.72818,9.09E+08,6.65E+08,13.07156,8.55863
2.79813,9.23E+08,6.98E+08,12.75308,8.6047
2.86808,9.34E+08,7.30E+08,12.3438,8.65078
2.93804,9.29E+08,7.01E+08,12.47716,7.93068
3.00799,9.15E+08,6.71E+08,12.21638,7.19915
3.07794,9.01E+08,6.45E+08,11.93498,6.5385
3.1479,8.88E+08,6.71E+08,11.41991,7.07875
3.21785,8.81E+08,6.98E+08,11.16345,7.61901
3.2878,8.76E+08,7.24E+08,10.84778,8.1124
3.35776,8.82E+08,7.55E+08,10.16971,8.28093
3.42771,9.03E+08,7.85E+08,9.82429,8.44948
3.49766,9.28E+08,8.10E+08,9.76474,8.60697
3.56762,9.72E+08,8.10E+08,10.89015,8.71919
3.63757,1.01E+09,8.11E+08,12.08009,8.8314
3.70752,1.04E+09,8.30E+08,13.02038,9.18645
3.77748,1.04E+09,9.00E+08,13.22546,10.20846
3.84743,1.04E+09,9.69E+08,13.29524,11.23047
3.91738,1.03E+09,1.02E+09,13.22813,12.104
3.98734,1.03E+09,1.05E+09,12.92949,12.68568
4.05729,1.02E+09,1.07E+09,12.7045,13.26738
4.12724,1.04E+09,1.09E+09,12.96373,13.6322
4.1972,1.09E+09,1.09E+09,13.85084,13.68193
4.26715,1.14E+09,1.10E+09,14.62779,13.7317
4.3371,1.16E+09,1.11E+09,14.78267,13.93588
4.40706,1.16E+09,1.12E+09,14.29578,14.3087
4.47701,1.16E+09,1.14E+09,13.84994,14.68157
4.54696,1.15E+09,1.14E+09,13.42878,14.92084
4.61692,1.11E+09,1.13E+09,12.79633,15.05006
4.68687,1.06E+09,1.13E+09,11.97317,15.17931
4.75682,1.04E+09,1.14E+09,11.57036,15.47995
4.82678,1.07E+09,1.17E+09,11.69961,15.88616
4.89673,1.10E+09,1.20E+09,11.9971,16.29238
4.96668,1.12E+09,1.20E+09,12.56488,16.25681
5.03664,1.14E+09,1.20E+09,13.26151,16.02192
5.10659,1.16E+09,1.20E+09,13.96125,15.78704
5.17654,1.17E+09,1.21E+09,14.43051,15.96548
5.2465,1.17E+09,1.22E+09,14.72075,16.27484
5.31645,1.18E+09,1.23E+09,14.97737,16.58423
5.3864,1.18E+09,1.23E+09,15.26984,16.56093
5.45636,1.19E+09,1.22E+09,15.65482,16.46942
5.52631,1.20E+09,1.21E+09,16.05727,16.37795
5.59626,1.20E+09,1.22E+09,16.1977,16.44799
5.66622,1.20E+09,1.22E+09,16.26264,16.5359
5.73617,1.19E+09,1.22E+09,16.32249,16.62379
5.80612,1.19E+09,1.21E+09,15.97715,16.02615
5.87608,1.19E+09,1.19E+09,15.69211,15.40776
5.94603,1.19E+09,1.17E+09,15.41103,14.80143
6.01598,1.19E+09,1.16E+09,15.17107,14.47733
6.08594,1.18E+09,1.15E+09,14.95031,14.15319
6.15589,1.18E+09,1.14E+09,14.75499,13.91382
6.22584,1.18E+09,1.16E+09,14.74445,14.3502
6.2958,1.17E+09,1.18E+09,14.58834,14.78659
6.36575,1.17E+09,1.19E+09,14.45968,15.15056
6.4357,1.19E+09,1.20E+09,14.5074,15.18874
6.50566,1.23E+09,1.20E+09,14.7926,15.22692
6.57561,1.27E+09,1.21E+09,15.15398,15.23667
6.64556,1.30E+09,1.21E+09,15.73577,15.16211
6.71552,1.32E+09,1.21E+09,16.30141,15.08756
6.78547,1.33E+09,1.21E+09,16.6435,15.03131
6.85542,1.31E+09,1.20E+09,16.43345,15.0134
